Fecha;Vendedor;Tienda;Producto;Medio de pago;Calificación por atención;Club cliente frecuente;Valor
44500;Matías;Tienda A;Código digital PSN;Débito;Positiva;No;31683
44570;Matías;Tienda A;Preventa Juego XBOX;Débito;Positiva;Si;53861
44300;Ambrosio;Tienda D;Código digital STEAM;Débito;Positiva;No;54246
44292;Diego;Tienda C;Código digital NSW;Efectivo;Neutra;No;27986
44681;Matías;Tienda A;Código digital PSN;Efectivo;Positiva;No;50615
44533;María;Tienda A;Código digital NSW;Efectivo;Positiva;No;35533
44426;Matías;Tienda A;Juego NSW;Débito;Negativa;Si;47075
44753;Antonio;Tienda D;Preventa Juego XBOX;Efectivo;Positiva;Si;52253
44527;Francisco;Tienda C;Código digital PSN;Crédito;Negativa;Si;28603
44218;Francisco;Tienda C;Juego PS5;Débito;Neutra;No;47339
44641;Matías;Tienda A;Preventa Juego XBOX;Efectivo;Negativa;No;46742
44811;Ambrosio;Tienda D;Código digital NSW;Efectivo;Negativa;Si;57535
44473;Antonio;Tienda D;Código digital STEAM;Débito;Neutra;No;61199
44720;María;Tienda A;Código digital STEAM;Crédito;Positiva;Si;53675
44612;Agustín;Tienda B;Juego PC;Efectivo;Negativa;Si;58676
44577;Antonio;Tienda D;Código digital NSW;Efectivo;Neutra;Si;58526
44333;Kike;Tienda B;Código digital STEAM;Efectivo;Positiva;No;58271
44338;Francisco;Tienda C;Código digital PSN;Débito;Neutra;No;64597
44799;Francisco;Tienda C;Preventa Juego STEAM;Crédito;Negativa;No;64385
44403;Francisco;Tienda C;Código digital PSN;Débito;Neutra;No;59418
44272;María;Tienda A;Juego PC;Crédito;Positiva;Si;54142
44594;Matías;Tienda A;Código digital XBOX;Efectivo;Neutra;No;40047
44767;Ambrosio;Tienda D;Código digital XBOX;Débito;Neutra;No;37945
44343;Ambrosio;Tienda D;Suscripción;Débito;Neutra;No;29721
44550;Antonio;Tienda D;Código digital PSN;Débito;Negativa;Si;49513
44552;Agustín;Tienda B;Preventa Juego NSW;Débito;Negativa;Si;35561
44777;Diego;Tienda C;Juego NSW;Débito;Positiva;Si;38563
44796;Antonio;Tienda D;Juego XBOX;Débito;Negativa;No;47687
44322;Matías;Tienda A;Preventa Juego XBOX;Efectivo;Positiva;No;40195
44507;Francisco;Tienda C;Código digital STEAM;Efectivo;Positiva;Si;33503
44326;Ambrosio;Tienda D;Juego NSW;Débito;Negativa;Si;39271
44418;Kike;Tienda B;Juego NSW;Crédito;Neutra;No;64480
44631;Kike;Tienda B;Juego PC;Crédito;Positiva;No;62665
44385;Kike;Tienda B;Juego NSW;Efectivo;Neutra;No;64677
44443;María;Tienda A;Preventa Juego NSW;Crédito;Positiva;No;31244
44768;Kike;Tienda B;Juego PS5;Débito;Neutra;No;63875
44563;Ambrosio;Tienda D;Juego PS5;Crédito;Positiva;Si;49184
44667;Agustín;Tienda B;Preventa Juego STEAM;Efectivo;Positiva;No;58716
44283;Ambrosio;Tienda D;Preventa Juego PS5;Efectivo;Neutra;No;53690
44451;Diego;Tienda C;Suscripción;Crédito;Neutra;Si;55508
44858;Ambrosio;Tienda D;Preventa Juego NSW;Crédito;Positiva;Si;54089
44826;María;Tienda A;Código digital STEAM;Crédito;Negativa;Si;40649
44682;Ambrosio;Tienda D;Juego XBOX;Crédito;Neutra;Si;28651
44415;Agustín;Tienda B;Preventa Juego STEAM;Crédito;Positiva;Si;61107
44475;Ambrosio;Tienda D;Preventa Juego STEAM;Efectivo;Neutra;No;44919
44687;Matías;Tienda A;Preventa Juego NSW;Efectivo;Negativa;Si;41812
44638;Kike;Tienda B;Código digital STEAM;Efectivo;Neutra;Si;39788
44379;Matías;Tienda A;Preventa Juego NSW;Débito;Positiva;Si;60278
44607;Ambrosio;Tienda D;Preventa Juego XBOX;Efectivo;Negativa;Si;53768
44306;Agustín;Tienda B;Código digital NSW;Crédito;Positiva;No;42587
44623;Agustín;Tienda B;Código digital NSW;Crédito;Negativa;Si;38271
44388;Agustín;Tienda B;Juego PS5;Efectivo;Positiva;Si;32655
44751;María;Tienda A;Suscripción;Crédito;Neutra;Si;37381
44330;Ambrosio;Tienda D;Preventa Juego STEAM;Crédito;Neutra;Si;52574
44842;Ambrosio;Tienda D;Código digital STEAM;Débito;Neutra;Si;51781
44831;Agustín;Tienda B;Código digital PSN;Crédito;Neutra;No;55531
44302;María;Tienda A;Preventa Juego STEAM;Crédito;Neutra;Si;35977
44833;Diego;Tienda C;Juego PS5;Efectivo;Positiva;Si;57814
44223;Ambrosio;Tienda D;Juego NSW;Efectivo;Neutra;No;58358
44821;María;Tienda A;Suscripción;Efectivo;Positiva;No;36650
44380;Antonio;Tienda D;Preventa Juego NSW;Crédito;Positiva;Si;30770
44416;Francisco;Tienda C;Juego NSW;Crédito;Positiva;No;56985
44840;Antonio;Tienda D;Preventa Juego PS5;Crédito;Negativa;No;37041
44481;Kike;Tienda B;Juego PS5;Crédito;Positiva;No;35378
44732;Francisco;Tienda C;Juego PC;Crédito;Positiva;Si;34075
44620;Kike;Tienda B;Código digital XBOX;Efectivo;Neutra;No;28830
44846;Ambrosio;Tienda D;Preventa Juego PS5;Débito;Negativa;Si;36085
44429;María;Tienda A;Preventa Juego NSW;Efectivo;Neutra;Si;64218
44841;María;Tienda A;Código digital XBOX;Débito;Neutra;No;41112
44281;Ambrosio;Tienda D;Preventa Juego NSW;Débito;Positiva;No;53595
44332;Matías;Tienda A;Juego XBOX;Efectivo;Negativa;Si;46392
44820;Kike;Tienda B;Juego PC;Débito;Positiva;No;48788
44858;Francisco;Tienda C;Juego XBOX;Efectivo;Positiva;No;40764
44329;Francisco;Tienda C;Código digital NSW;Débito;Positiva;No;51080
44626;Diego;Tienda C;Juego PC;Crédito;Positiva;Si;55251
44599;Matías;Tienda A;Código digital XBOX;Débito;Positiva;No;34227
44519;Antonio;Tienda D;Código digital PSN;Crédito;Negativa;No;64532
44388;María;Tienda A;Juego NSW;Crédito;Positiva;No;41827
44578;Francisco;Tienda C;Suscripción;Efectivo;Positiva;No;42556
44288;Ambrosio;Tienda D;Código digital XBOX;Crédito;Negativa;Si;59533
44769;Ambrosio;Tienda D;Juego PS5;Crédito;Negativa;No;39631
44812;Matías;Tienda A;Preventa Juego NSW;Efectivo;Neutra;No;40261
44309;Matías;Tienda A;Preventa Juego NSW;Crédito;Neutra;No;47508
44451;Matías;Tienda A;Preventa Juego STEAM;Débito;Positiva;No;37655
44539;Matías;Tienda A;Código digital STEAM;Crédito;Neutra;Si;50170
44697;Diego;Tienda C;Código digital NSW;Crédito;Positiva;Si;29208
44832;Diego;Tienda C;Juego PS5;Débito;Positiva;Si;42256
44406;Antonio;Tienda D;Preventa Juego NSW;Efectivo;Neutra;Si;32370
44599;Agustín;Tienda B;Preventa Juego STEAM;Efectivo;Negativa;Si;38326
44595;Ambrosio;Tienda D;Preventa Juego PS5;Crédito;Neutra;No;64112
44307;Francisco;Tienda C;Juego PS5;Débito;Neutra;No;35457
44673;Ambrosio;Tienda D;Código digital STEAM;Efectivo;Neutra;Si;47724
44722;Francisco;Tienda C;Suscripción;Crédito;Neutra;Si;47836
44616;Francisco;Tienda C;Juego PC;Efectivo;Negativa;Si;53106
44592;Francisco;Tienda C;Código digital NSW;Débito;Negativa;Si;30638
44707;Antonio;Tienda D;Código digital PSN;Crédito;Positiva;Si;53588
44453;Diego;Tienda C;Juego PS5;Crédito;Negativa;Si;57703
44572;Matías;Tienda A;Juego NSW;Débito;Neutra;No;42906
44628;Diego;Tienda C;Preventa Juego XBOX;Crédito;Negativa;No;57646
44550;Matías;Tienda A;Juego NSW;Efectivo;Positiva;Si;47789
44215;Diego;Tienda C;Suscripción;Débito;Positiva;No;33080
44349;Matías;Tienda A;Preventa Juego XBOX;Efectivo;Neutra;No;28227
44789;Francisco;Tienda C;Código digital XBOX;Crédito;Neutra;No;55132
44556;Agustín;Tienda B;Preventa Juego PS5;Débito;Negativa;No;33929
44602;Matías;Tienda A;Juego PC;Efectivo;Positiva;No;46164
44700;Francisco;Tienda C;Código digital PSN;Crédito;Negativa;No;62275
44739;María;Tienda A;Juego PC;Débito;Positiva;Si;49376
44839;María;Tienda A;Juego PS5;Efectivo;Neutra;Si;62882
44520;Diego;Tienda C;Preventa Juego STEAM;Crédito;Positiva;Si;48364
44412;María;Tienda A;Código digital NSW;Débito;Negativa;Si;45756
44315;Matías;Tienda A;Juego XBOX;Crédito;Negativa;Si;37268
44257;Agustín;Tienda B;Código digital PSN;Débito;Negativa;Si;63388
44450;Ambrosio;Tienda D;Juego NSW;Crédito;Neutra;Si;49594
44225;Antonio;Tienda D;Suscripción;Efectivo;Negativa;Si;36545
44539;Kike;Tienda B;Juego NSW;Débito;Negativa;Si;40476
44602;Kike;Tienda B;Preventa Juego PS5;Efectivo;Negativa;No;31623
44811;María;Tienda A;Preventa Juego XBOX;Crédito;Negativa;No;54489
44498;Kike;Tienda B;Código digital XBOX;Efectivo;Positiva;No;28453
44664;Kike;Tienda B;Preventa Juego STEAM;Crédito;Positiva;Si;50317
44635;Francisco;Tienda C;Juego PS5;Débito;Negativa;Si;34459
44304;María;Tienda A;Juego PC;Débito;Positiva;No;38100
44670;Antonio;Tienda D;Código digital STEAM;Efectivo;Neutra;No;63717
44544;Matías;Tienda A;Juego NSW;Crédito;Positiva;No;56481
44274;Ambrosio;Tienda D;Código digital STEAM;Efectivo;Positiva;Si;56197
44690;María;Tienda A;Código digital XBOX;Débito;Negativa;Si;30512
44704;María;Tienda A;Código digital STEAM;Crédito;Negativa;No;45161
44373;Antonio;Tienda D;Código digital PSN;Efectivo;Negativa;Si;58314
44631;Antonio;Tienda D;Código digital STEAM;Crédito;Neutra;No;63758
44442;Agustín;Tienda B;Preventa Juego PS5;Crédito;Negativa;No;56194
44616;Agustín;Tienda B;Preventa Juego PS5;Débito;Negativa;Si;49603
44427;Francisco;Tienda C;Preventa Juego STEAM;Débito;Positiva;No;47053
