Fecha;Vendedor;Tienda;Producto;Medio de pago;Valor
29-11-2021;María;Tienda A;Preventa Juego XBOX;Crédito;$36.284
12-03-2022;Kike;Tienda B;Preventa Juego NSW;Débito;$32.266
30-12-2021;Francisco;Tienda C;Juego PC;Crédito;$34.455
03-02-2021;Kike;Tienda B;Juego PC;Débito;$55.845
04-09-2021;Ambrosio;Tienda D;Código digital STEAM;Débito;$30.511
05-08-2022;Francisco;Tienda C;Preventa Juego NSW;Débito;$61.357
09-02-2022;Kike;Tienda B;Preventa Juego XBOX;Crédito;$32.247
12-01-2022;Antonio;Tienda D;Preventa Juego STEAM;Débito;$45.156
06-02-2021;María;Tienda A;Código digital NSW;Débito;$49.198
27-12-2021;Agustín;Tienda B;Juego NSW;Crédito;$58.637
01-09-2022;Kike;Tienda B;Preventa Juego XBOX;Crédito;$38.198
28-06-2021;Ambrosio;Tienda D;Código digital NSW;Débito;$41.351
24-01-2022;Matías;Tienda A;Juego NSW;Crédito;$61.422
09-03-2021;Diego;Tienda C;Juego XBOX;Crédito;$62.072
16-04-2021;Diego;Tienda C;Juego PC;Crédito;$47.871
02-10-2022;Kike;Tienda B;Juego NSW;Crédito;$48.805
19-01-2022;Kike;Tienda B;Código digital STEAM;Crédito;$55.511
28-03-2022;María;Tienda A;Juego NSW;Débito;$49.385
20-03-2022;Diego;Tienda C;Juego PC;Débito;$60.161
30-03-2022;Agustín;Tienda B;Suscripción;Débito;$53.986
28-12-2021;Kike;Tienda B;Código digital STEAM;Crédito;$63.946
24-01-2021;Kike;Tienda B;Código digital STEAM;Crédito;$53.053
12-11-2021;María;Tienda A;Juego XBOX;Débito;$29.762
04-08-2021;Agustín;Tienda B;Juego PC;Crédito;$46.229
11-05-2021;Diego;Tienda C;Código digital XBOX;Crédito;$53.240
29-11-2021;Kike;Tienda B;Código digital PSN;Crédito;$49.277
03-12-2021;Diego;Tienda C;Preventa Juego XBOX;Débito;$35.464
26-05-2021;María;Tienda A;Juego PC;Débito;$40.965
16-05-2021;Agustín;Tienda B;Preventa Juego NSW;Débito;$41.847
12-01-2021;Francisco;Tienda C;Juego PS5;Crédito;$46.937
13-01-2022;Francisco;Tienda C;Juego NSW;Crédito;$47.962
29-05-2022;Kike;Tienda B;Código digital STEAM;Crédito;$39.755
25-06-2021;Antonio;Tienda D;Preventa Juego PS5;Débito;$33.969
18-04-2021;María;Tienda A;Suscripción;Crédito;$57.330
09-02-2021;Kike;Tienda B;Preventa Juego STEAM;Crédito;$31.124
